ticker|returnOnEquity|returnOnAssets|payoutRatio|PE|debtToEquity|growthRate|ggmReturn|div10YReturn|rdpReturn
DEMCO.BK|-0.0085|-0.0040|0.0000|99999.0000|37.0020|-0.0085|-0.0085|-0.0085|-0.0007|-0.0085
DHOUSE.BK|0.0000|0.0000|0.0000|20.6897|95.4430|0.0000|0.0000|0.0000|-0.0483|0.0000
DIMET.BK|-0.5853|-0.1862|0.0000|99999.0000|73.2840|-0.5853|-0.5853|-0.5853|0.0000|-0.5853
DOD.BK|0.1337|0.0788|0.7955|25.0000|13.1550|0.0273|0.0592|0.0592|0.0018|0.0600
DOHOME.BK|0.1006|0.0348|0.0495|47.9109|147.3740|0.0956|0.0966|0.0966|-0.0320|0.0967
DRT.BK|0.2767|0.1250|0.6557|9.5745|51.7590|0.0953|0.1637|0.1637|0.1654|0.1703
DTAC.BK|0.2320|0.0384|1.0420|13.6957|301.4740|-0.0097|0.0663|0.0663|0.0526|0.0656
DTC.BK|-0.1221|-0.0423|0.0000|99999.0000|300.1590|-0.1221|-0.1221|-0.1221|-0.0062|-0.1221
DTCI.BK|0.0346|0.0260|0.1984|22.6911|11.8740|0.0277|0.0365|0.0365|-0.0194|0.0367
DV8.BK|-0.2034|-0.0672|0.0000|99999.0000|4.8230|-0.2034|-0.2034|-0.2034|-0.6494|-0.2034
EA.BK|0.2083|0.0586|0.2041|43.9373|156.9050|0.1658|0.1705|0.1705|0.0449|0.1712
EASON.BK|0.0010|0.0247|0.0000|335.0000|11.2130|0.0010|0.0010|0.0010|-0.0002|0.0010
EASTW.BK|0.0759|0.0345|0.8571|18.6858|78.4210|0.0108|0.0567|0.0567|0.0221|0.0572
ECF.BK|0.0184|0.0241|0.4678|36.6667|154.7370|0.0098|0.0225|0.0225|-0.0686|0.0227
ECL.BK|0.0401|0.0104|0.0000|16.1538|277.8410|0.0401|0.0401|0.0401|0.0124|0.0401
EE.BK|-0.0089|-0.0183|0.0000|99999.0000|0.1810|-0.0089|-0.0089|-0.0089|-0.0006|-0.0089
EFORL.BK|0.0000|-0.0167|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
EGCO.BK|0.0922|0.0174|0.3474|10.0634|94.8740|0.0602|0.0947|0.0947|0.0939|0.0968
EKH.BK|0.0595|0.0420|2.1784|53.1915|4.7900|-0.0701|-0.0291|-0.0291|-0.1227|-0.0320
EMC.BK|0.0054|-0.0095|0.0000|170.0000|38.5480|0.0054|0.0054|0.0054|-0.0003|0.0054
EP.BK|0.4739|0.0187|0.1290|3.1908|72.0060|0.4128|0.4532|0.4532|0.4656|0.4699
EPG.BK|0.0810|0.0323|0.7309|28.5714|22.3950|0.0218|0.0474|0.0474|-0.0211|0.0479
ERW.BK|-0.2128|-0.0182|0.0000|13.3333|348.2060|-0.2128|-0.2128|-0.2128|-0.2203|-0.2128
ESSO.BK|-0.5414|-0.1388|0.0000|4.8830|239.4540|-0.5414|-0.5414|-0.5414|0.0000|-0.5414
ESTAR.BK|0.0344|0.0158|0.0000|14.8485|37.1490|0.0344|0.0344|0.0344|0.0146|0.0344
ETC.BK|0.0815|0.0409|0.0000|27.1795|55.8980|0.0815|0.0815|0.0815|0.0040|0.0815
ETE.BK|0.0553|0.0242|0.0000|12.3457|87.4150|0.0553|0.0553|0.0553|0.0525|0.0553
EVER.BK|-0.0181|0.0066|0.0000|99999.0000|234.5480|-0.0181|-0.0181|-0.0181|-0.0000|-0.0181
F&D.BK|0.0193|0.0125|0.0000|99999.0000|11.7990|0.0193|0.0193|0.0193|-0.5514|0.0193
FANCY.BK|-0.0530|-0.0288|0.0000|99999.0000|5.2230|-0.0530|-0.0530|-0.0530|-0.5832|-0.0530
