ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nyse:B|0.0038|-0.0815|1.3978|9.0000|9.0000|0.6628|40.6700
nyse:BA|0.0000|-0.7457|-7.8327|5.0000|9.0000|-0.0594|215.3900
nyse:BABA|0.1983|0.2167|6.9127|9.0000|9.0000|0.0000|98.3900
nyse:BAC|0.2815|0.1577|3.4787|9.0000|9.0000|0.2860|28.5900
nyse:BAH|0.1002|0.1188|3.5500|9.0000|9.0000|0.3690|95.0100
nyse:BAK|0.1196|-3.1207|-1.0462|5.0000|9.0000|-0.0790|7.6500
nyse:BALL|0.0878|0.0955|2.0547|9.0000|9.0000|0.3757|55.0800
nyse:BALY|0.0000|8.8469|-1.9811|4.0000|9.0000|0.0501|19.0500
nyse:BAM|0.0000|-0.4102|-0.6029|4.0000|9.0000|-0.0196|42.7300
nyse:BANC|0.0377|-0.0292|0.6154|8.0000|9.0000|0.2805|12.5500
nyse:BAP|0.1069|-0.0187|11.1000|9.0000|9.0000|0.5124|131.3200
nyse:BARK|0.0000|0.3108|-2.2182|0.0000|9.0000|0.0000|1.4500
nyse:BAX|-0.1124|-0.2020|0.3489|8.0000|9.0000|0.0845|39.9800
nyse:BB|0.0000|0.5250|-0.2136|0.0000|9.0000|0.0000|5.9300
nyse:BBAI|0.0000|0.5250|-0.6544|0.0000|9.0000|0.0000|3.1300
nyse:BBAR|0.3625|-0.0141|1.3564|8.0000|9.0000|0.1544|4.0400
nyse:BBD|0.0034|-0.1258|0.1953|8.0000|9.0000|0.2411|3.0600
nyse:BBDC|0.0000|-0.3295|-0.0682|6.0000|9.0000|0.2129|8.2700
nyse:BBLN|0.0000|0.4689|-12.8540|0.0000|9.0000|0.0000|5.1300
nyse:BBU|0.0000|-0.0667|-0.0147|3.0000|9.0000|0.2031|21.3600
nyse:BBUC|0.8723|0.6000|4.7222|1.0000|9.0000|0.0057|19.7900
nyse:BBVA|0.2328|0.0870|0.8267|9.0000|9.0000|0.3870|6.8400
nyse:BBW|0.0313|0.1395|0.3419|6.0000|9.0000|0.0000|23.1200
nyse:BBWI|0.0754|-0.0353|2.6556|9.0000|9.0000|0.4457|36.5000
nyse:BBY|0.2649|0.1800|7.7233|9.0000|9.0000|0.3392|78.5100
nyse:BC|0.2388|0.2099|6.5409|9.0000|9.0000|0.2374|82.1400
nyse:BCC|0.7139|0.3978|15.3227|9.0000|9.0000|0.1653|63.4100
nyse:BCE|0.0000|-0.3794|-0.5562|4.0000|9.0000|-0.1863|40.5600
nyse:BCH|0.2066|0.0433|2.1456|9.0000|9.0000|0.6166|19.2000
nyse:BCO|0.3546|0.5927|1.7004|6.0000|9.0000|0.5968|66.0400
nyse:BCS|0.6523|0.4080|1.3364|7.0000|9.0000|0.3300|7.3700
nyse:BCSF|0.1834|0.1623|0.7147|6.0000|9.0000|0.8050|14.5300
nyse:BDC|0.1561|0.1807|5.0880|9.0000|9.0000|0.0420|87.7700
nyse:BDJ|0.0417|-0.0166|0.5144|5.0000|9.0000|0.0691|9.2900
nyse:BDN|0.0825|0.0618|0.2924|6.0000|9.0000|0.6842|8.0300
nyse:BDX|0.0001|-0.0099|4.0080|9.0000|9.0000|0.8029|246.9500
nyse:BE|0.0000|-0.0536|-1.9098|0.0000|9.0000|0.0000|20.1600
nyse:BEDU|0.0000|0.5913|-0.6491|2.0000|9.0000|0.0000|2.4000
nyse:BEKE|0.0000|0.0633|-0.1227|1.0000|9.0000|0.0000|19.4700
nyse:BEN|0.1443|-0.0054|2.8933|9.0000|9.0000|0.4551|26.9300
nyse:BEP|-0.5107|-1.0545|-0.0590|2.0000|9.0000|-0.2444|31.0400
nyse:BERY|0.2477|0.2220|5.5964|9.0000|9.0000|0.0000|58.5100
nyse:BEST|0.0499|-0.2928|1.1036|0.0000|9.0000|0.0000|2.8808
nyse:BFAC|0.2536|0.6000|0.1851|1.0000|9.0000|0.0000|10.4400
nyse:BFAM|-0.0237|-0.0280|1.4800|9.0000|9.0000|0.0000|77.5700
