ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nasdaq:ANTE|0.0000|-0.1866|-4.1084|1.0000|9.0000|0.0000|1.6200
nasdaq:ANTX|0.0000|0.4335|-1.9047|0.0000|9.0000|0.0000|9.9100
nasdaq:ANY|73.5300|-0.3947|42.7460|0.0000|9.0000|0.0000|0.3500
nasdaq:AOSL|0.8437|0.5949|6.0933|5.0000|9.0000|0.0000|26.6900
nasdaq:AOUT|0.0000|0.4989|-4.0671|1.0000|9.0000|0.0000|9.4400
nasdaq:APA|-0.2789|-0.7712|7.3504|4.0000|9.0000|0.0794|39.2000
nasdaq:APAC|0.2306|0.6000|0.1511|1.0000|9.0000|0.0000|10.5550
nasdaq:APCX|0.0000|0.3354|-0.8716|0.0000|9.0000|0.0000|1.5099
nasdaq:APDN|0.9722|-0.2823|1.9360|0.0000|9.0000|0.0000|1.1100
nasdaq:APEI|-0.5763|-1.0054|-1.9304|8.0000|9.0000|0.0000|5.3600
nasdaq:APEN|0.0000|-0.1802|-0.7291|0.0000|9.0000|0.0000|10.0000
nasdaq:APGN|0.0000|0.5250|-1.1160|0.0000|9.0000|0.0000|0.4970
nasdaq:API|0.0000|0.2590|-1.6809|0.0000|9.0000|0.0000|3.6900
nasdaq:APLD|0.0000|0.5250|-0.2687|0.0000|9.0000|0.0000|2.3500
nasdaq:APLS|0.0000|0.2506|-6.6529|0.0000|9.0000|0.0000|76.6800
nasdaq:APLT|0.0000|0.3398|-3.8116|0.0000|9.0000|0.0000|0.7970
nasdaq:APM|0.0000|0.1129|-2.6116|1.0000|9.0000|0.0000|2.6800
nasdaq:APOG|-0.0244|-0.1020|0.9767|9.0000|9.0000|0.7850|43.7500
nasdaq:APP|0.0000|0.3761|-0.3784|2.0000|9.0000|0.0000|15.8300
nasdaq:APPF|0.1285|0.4496|1.1318|5.0000|9.0000|0.0000|127.5900
nasdaq:APPH|0.0000|0.4674|-1.3169|0.0000|9.0000|0.0000|0.6096
nasdaq:APPN|0.0000|0.1961|-1.2709|0.0000|9.0000|0.0000|43.9950
nasdaq:APPS|-0.3463|-0.8208|0.3653|3.0000|9.0000|0.0000|12.2800
nasdaq:APRE|0.0000|0.3859|-75.6889|0.0000|9.0000|0.0000|4.1900
nasdaq:APTO|-0.1127|-0.3680|0.2140|0.0000|9.0000|0.0000|3.0100
nasdaq:APTX|0.0000|0.2136|-1.6320|0.0000|9.0000|0.0000|0.1168
nasdaq:APVO|0.0000|-0.0522|-14.6398|1.0000|9.0000|0.0000|2.0800
nasdaq:APWC|-0.0184|-0.0098|0.0246|4.0000|9.0000|0.0672|1.4227
nasdaq:APYX|0.0000|-0.0004|-0.4316|1.0000|9.0000|0.0000|2.7500
nasdaq:AQB|0.0000|-0.1158|-0.3978|0.0000|9.0000|0.0000|0.5858
nasdaq:AQMS|0.0000|-0.1007|-0.4560|0.0000|9.0000|0.0000|1.0200
nasdaq:AQST|0.0000|0.1488|-1.7938|0.0000|9.0000|0.0000|1.0600
nasdaq:ARAV|0.3155|-0.2831|1.5153|0.0000|9.0000|0.0000|1.8700
nasdaq:ARAY|0.0000|-0.2419|-0.0084|1.0000|9.0000|0.0000|2.9400
nasdaq:ARBE|0.0000|0.3262|-1.7287|0.0000|9.0000|0.0000|3.1600
nasdaq:ARBG|0.0000|0.0000|0.0000|1.0000|9.0000|0.0000|10.1200
nasdaq:ARBK|0.0000|0.1500|-0.0373|2.0000|9.0000|0.0000|1.7400
nasdaq:ARCB|0.3114|0.2810|8.7867|9.0000|9.0000|0.1194|91.4600
nasdaq:ARCE|0.0000|-0.4072|-0.0514|5.0000|9.0000|0.0000|10.9700
nasdaq:ARCT|0.0000|0.1158|-2.3313|1.0000|9.0000|0.0000|25.7000
nasdaq:ARDS|0.0000|0.0736|-3.2729|0.0000|9.0000|0.0000|0.2780
nasdaq:ARDX|0.0000|0.0249|-1.3267|0.0000|9.0000|0.0000|4.7200
nasdaq:AREB|0.0000|0.3780|-3.6803|0.0000|9.0000|0.0000|0.1365
nasdaq:AREC|0.0000|0.0171|-2.7832|0.0000|9.0000|0.0000|1.3900
nasdaq:ARGX|0.0000|0.3683|-11.3878|0.0000|9.0000|0.0000|360.1400
nasdaq:ARHS|0.3889|0.5868|0.3812|4.0000|9.0000|0.0000|7.8400
nasdaq:ARIS|0.1249|0.5250|0.0276|2.0000|9.0000|0.6889|7.9500
nasdaq:ARIZ|0.0000|0.6000|-0.0174|0.0000|9.0000|0.0000|10.3000
nasdaq:ARKO|0.2721|0.3431|0.5306|5.0000|9.0000|0.0638|8.6600
nasdaq:ARKR|0.1888|0.0827|1.9989|8.0000|9.0000|0.1180|17.2100
nasdaq:ARLP|0.0301|-0.1047|1.5033|8.0000|9.0000|0.3798|20.7700
nasdaq:AROW|0.0600|-0.0123|1.6573|8.0000|9.0000|0.0966|24.7900
nasdaq:ARQQ|0.6938|0.5901|0.2046|2.0000|9.0000|0.0000|1.2800
nasdaq:ARQT|0.0000|0.4480|-4.4704|0.0000|9.0000|0.0000|11.1500
