ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
bkk:CRC|0.0760|0.0810|1.2458|7.0000|9.0000|0.7874|44.5000
bkk:CRD|0.0000|-0.6923|-0.0782|6.0000|9.0000|-0.2119|0.7500
bkk:CSC|0.1095|-0.0461|4.6836|9.0000|9.0000|0.5335|47.0000
bkk:CSP|0.0000|0.6642|-0.2698|4.0000|9.0000|-0.1079|1.2500
bkk:CSR|-0.0466|-0.1226|1.2731|9.0000|9.0000|0.6273|71.7500
bkk:CSS|0.0041|-0.1292|0.0673|9.0000|9.0000|0.8355|1.4400
bkk:CTW|0.0107|-0.1055|0.2402|7.0000|9.0000|0.7950|5.5000
bkk:CV|0.3106|0.3725|0.1226|5.0000|9.0000|0.0000|1.7000
bkk:CWT|0.2847|0.2000|0.2682|9.0000|9.0000|0.1359|2.3200
bkk:D|-0.0678|-0.0912|0.0513|5.0000|9.0000|0.2520|5.6000
bkk:DCC|0.1114|-0.0155|0.1720|9.0000|9.0000|0.7675|2.3000
bkk:DCON|-0.1048|-0.2192|0.0053|9.0000|9.0000|0.3866|0.4800
bkk:DDD|-0.0132|-0.0811|0.3024|7.0000|9.0000|1.1251|15.2000
bkk:DELTA|0.0013|0.0979|7.8009|9.0000|9.0000|0.4322|964.0000
bkk:DEMCO|0.0000|1.0500|-0.0462|6.0000|9.0000|0.0190|4.9600
bkk:DEXON|0.0455|0.3566|0.0164|2.0000|9.0000|0.0000|4.4400
bkk:DHOUSE|0.0000|-2.3400|-0.0046|3.0000|9.0000|0.3111|0.8300
bkk:DIMET|0.0000|0.0718|-0.1180|1.0000|9.0000|0.0000|0.4100
bkk:DITTO|0.0759|0.2975|0.2752|7.0000|9.0000|0.3258|34.0000
bkk:DMT|0.0410|-0.0653|0.6936|9.0000|9.0000|0.7889|14.0000
bkk:DOD|-0.0549|-0.1614|0.1402|8.0000|9.0000|0.1190|4.7200
bkk:DOHOME|-0.0548|-0.0753|0.1887|9.0000|9.0000|0.0346|14.2000
bkk:DPAINT|0.2383|0.3852|0.2620|5.0000|9.0000|0.2531|7.6500
bkk:DRT|0.2470|0.1243|0.7469|9.0000|9.0000|0.6390|7.8500
bkk:DTCENT|0.2148|0.1833|0.1173|6.0000|9.0000|0.6904|2.0000
bkk:DTCI|0.0177|-0.0511|1.2311|9.0000|9.0000|0.3431|30.0000
bkk:DUSIT|0.0000|0.8691|-0.7729|5.0000|9.0000|0.0886|11.7000
bkk:DV8|0.0000|-0.1685|-0.2990|2.0000|9.0000|0.0000|0.7800
bkk:EA|0.0729|0.1417|1.9096|9.0000|9.0000|0.2035|76.0000
bkk:EASON|0.0000|-0.3867|-0.0544|6.0000|9.0000|0.3237|1.2900
bkk:EASTW|0.0945|-0.0772|0.4716|9.0000|9.0000|0.7198|4.9400
bkk:ECF|-0.0527|-0.1449|0.0341|9.0000|9.0000|0.2653|1.4300
bkk:ECL|0.1894|0.0742|0.1596|9.0000|9.0000|0.4978|1.7000
bkk:EFORL|0.0000|-0.0725|-0.0896|4.0000|9.0000|-0.1283|0.3000
bkk:EGCO|0.1577|-0.0063|15.8924|9.0000|9.0000|0.7026|155.5000
bkk:EKH|0.3932|0.3137|0.6694|9.0000|9.0000|0.7113|7.9000
bkk:EMC|-0.0969|-0.3637|0.0155|2.0000|9.0000|0.0000|0.1500
bkk:EP|0.2516|0.0965|0.5651|8.0000|9.0000|0.0072|3.3600
bkk:EPG|0.1250|0.0561|0.4584|9.0000|9.0000|0.6894|7.9000
bkk:ERW|0.0000|0.8632|-0.3003|5.0000|9.0000|0.0960|4.9400
bkk:ESSO|0.9259|0.6573|1.8147|6.0000|9.0000|0.1835|8.9000
bkk:ESTAR|-0.0385|-0.1417|0.0122|9.0000|9.0000|0.0512|0.3200
bkk:ETC|0.1958|0.4568|0.0829|5.0000|9.0000|0.0000|4.2200
bkk:ETE|-0.0213|-0.0696|0.0289|8.0000|9.0000|0.1372|1.0900
bkk:EVER|0.0000|0.1021|-0.0480|2.0000|9.0000|0.0000|0.2400
bkk:F&D|-0.2315|-0.6215|1.7018|4.0000|9.0000|0.0000|33.2500
bkk:FANCY|0.0000|0.0158|-0.1574|1.0000|9.0000|-0.1556|0.7000
bkk:FE|0.0080|-0.0879|7.0071|9.0000|9.0000|0.8641|200.0000
bkk:FLOYD|-0.0916|-0.2049|0.0219|9.0000|9.0000|0.1579|1.3100
bkk:FMT|0.1097|-0.0152|2.2182|9.0000|9.0000|0.8560|31.5000
bkk:FN|0.0000|-0.8060|-0.0801|6.0000|9.0000|0.0959|1.7500
bkk:FNS|0.0881|-0.0757|0.3927|7.0000|9.0000|0.3681|3.5600
bkk:FORTH|0.0680|0.1077|0.7042|9.0000|9.0000|0.7022|32.2500
bkk:FPI|0.1678|0.0520|0.2117|9.0000|9.0000|0.6719|2.5600
bkk:FPT|0.1812|0.1158|1.1396|9.0000|9.0000|0.4438|15.2000
bkk:FSMART|0.1389|0.0528|0.6351|9.0000|9.0000|0.9074|10.7000
bkk:FSS|-0.0705|-0.1599|0.0669|7.0000|9.0000|0.1661|3.5800
bkk:FTE|0.0816|-0.0730|0.1163|9.0000|9.0000|1.0028|1.6000
bkk:FTI|0.2378|0.1866|0.1257|6.0000|9.0000|0.8831|2.0800
bkk:FVC|0.0447|0.0560|0.0510|7.0000|9.0000|-0.1885|1.2000
bkk:GBX|0.1797|0.1578|0.0420|9.0000|9.0000|0.8530|0.8800
bkk:GC|0.1718|0.0238|0.4527|9.0000|9.0000|0.8759|5.1500
bkk:GCAP|0.0000|-0.6525|-0.1580|7.0000|9.0000|0.3684|1.2100
bkk:GEL|0.0000|0.8317|-0.0433|3.0000|9.0000|-0.0375|0.2600
bkk:GENCO|0.0000|0.2586|-0.0303|4.0000|9.0000|0.1195|0.7100
bkk:GFPT|0.1083|-0.0047|1.1369|9.0000|9.0000|0.1707|11.5000
bkk:GGC|-0.0570|-0.1455|0.2022|8.0000|9.0000|0.8296|13.1000
bkk:GIFT|0.0000|-0.2535|-0.0023|7.0000|9.0000|0.5041|6.0500
bkk:GJS|0.0000|0.0289|-0.0527|2.0000|9.0000|0.0000|0.2900
bkk:GL|0.0000|1.0171|-0.3334|4.0000|9.0000|-0.1417|0.6500
bkk:GLAND|-0.0678|-0.1658|0.0567|9.0000|9.0000|-0.0792|2.1600
bkk:GLOBAL|0.1389|0.1751|0.6764|9.0000|9.0000|0.4921|18.2000
bkk:GLOCON|0.0000|-0.1356|-0.0592|0.0000|9.0000|0.0000|0.4700
bkk:GLORY|0.2003|0.3556|0.1017|5.0000|9.0000|0.4245|3.9600
bkk:GPI|-0.0086|-0.1460|0.0716|9.0000|9.0000|0.9568|1.7400
bkk:GPSC|0.0438|0.0148|1.9498|9.0000|9.0000|0.7531|66.7500
bkk:GRAMMY|-0.2112|-0.5920|0.5854|4.0000|9.0000|0.1760|9.8000
bkk:GRAND|0.0000|1.3106|-0.1110|4.0000|9.0000|-0.0019|0.2200
bkk:GREEN|-0.1399|-0.3975|0.0505|3.0000|9.0000|0.0000|1.1300
bkk:GSC|-0.0422|-0.0440|0.0231|6.0000|9.0000|0.2538|2.0000
bkk:GSTEEL|-0.2465|-0.8018|0.1263|2.0000|9.0000|0.0000|0.0900
bkk:GTB|0.0460|-0.0472|0.0406|8.0000|9.0000|0.4392|0.7200
bkk:GTV|-0.1262|-0.2904|0.0045|0.0000|9.0000|0.0000|0.2600
bkk:GULF|0.1557|0.3410|0.7683|7.0000|9.0000|0.7772|53.0000
bkk:GUNKUL|0.3218|0.2436|0.3670|9.0000|9.0000|0.5408|4.1400
bkk:GYT|0.0000|-0.7475|-20.0758|6.0000|9.0000|0.0034|186.5000
bkk:HANA|0.0315|-0.0497|2.2742|9.0000|9.0000|0.5085|50.2500
bkk:HARN|0.1122|-0.0224|0.1629|9.0000|9.0000|0.8033|2.1200
bkk:HEMP|0.0000|0.0382|-0.8249|1.0000|9.0000|0.0000|3.7000
bkk:HENG|0.2811|0.3728|0.1118|6.0000|9.0000|0.5409|2.7200
bkk:HFT|0.1917|0.0311|0.5660|9.0000|9.0000|0.6364|5.2500
bkk:HMPRO|0.0902|0.0757|0.4762|9.0000|9.0000|0.8588|14.3000
bkk:HPT|0.0305|-0.0000|0.0268|8.0000|9.0000|0.3368|0.7900
bkk:HTC|0.2325|0.1600|2.7731|9.0000|9.0000|0.4564|33.2500
bkk:HTECH|0.1085|-0.0213|0.3009|9.0000|9.0000|0.5112|3.4600
bkk:HUMAN|0.0798|0.1091|0.2749|9.0000|9.0000|0.8038|11.4000
bkk:HYDRO|0.0000|-0.2260|-0.2013|0.0000|9.0000|0.0000|0.5500
bkk:ICC|0.0027|-0.0831|1.3624|8.0000|9.0000|0.3900|34.0000
bkk:ICHI|-0.0333|-0.1142|0.2345|9.0000|9.0000|1.0097|12.7000
bkk:ICN|0.3406|0.2338|0.2671|8.0000|9.0000|1.0150|3.4000
bkk:IFEC|0.0000|0.1303|-0.6078|2.0000|9.0000|-0.0374|0.3500
